,,,,,,Totals,,,,,,,,,,,,,,Shooting,,,Per Game,,,
Rk,Player,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PS/G,TRB,AST
1,Alex Abrines\abrinal01,23,1,68,1055,134,341,94,247,44,49,18,86,40,37,8,33,114,406,0.393,0.381,0.898,15.5,6,1.3,0.6
2,Ron Baker\bakerro01,23,1,52,857,82,217,23,86,28,43,12,98,107,34,8,56,74,215,0.378,0.267,0.651,16.5,4.1,1.9,2.1
3,Wade Baldwin\baldwwa01,20,1,33,405,36,115,3,22,31,37,11,46,61,18,7,39,40,106,0.313,0.136,0.838,12.3,3.2,1.4,1.8
4,Malik Beasley\beaslma01,20,1,22,165,33,73,9,28,8,10,5,17,11,7,0,8,10,83,0.452,0.321,0.8,7.5,3.8,0.8,0.5
5,DeAndre' Bembry\bembrde01,22,1,38,371,47,98,1,18,6,16,14,59,28,8,5,16,21,101,0.48,0.056,0.375,9.8,2.7,1.6,0.7
6,Dragan Bender\bendedr01,19,1,43,574,57,161,28,101,4,11,23,103,23,10,22,32,74,146,0.354,0.277,0.364,13.3,3.4,2.4,0.5
7,Ben Bentil\bentibe01,21,1,3,10,0,3,0,1,0,0,0,2,0,0,0,1,1,0,0,0,,3.3,0,0.7,0
8,Davis Bertans\bertada01,24,1,67,808,103,234,69,173,28,34,22,98,46,20,28,32,75,303,0.44,0.399,0.824,12.1,4.5,1.5,0.7
9,Joel Bolomboy\bolomjo01,23,1,12,53,9,16,1,4,3,6,4,17,2,1,2,2,1,22,0.563,0.25,0.5,4.4,1.8,1.4,0.2
10,Malcolm Brogdon\brogdma01,24,1,75,1982,290,635,78,193,109,126,47,213,317,84,12,113,140,767,0.457,0.404,0.865,26.4,10.2,2.8,4.2
11,Jaylen Brown\brownja02,20,1,78,1341,192,423,46,135,85,124,45,220,64,35,18,68,142,515,0.454,0.341,0.685,17.2,6.6,2.8,0.8
12,Nicolas Brussino\brussni01,23,1,54,521,52,141,29,95,17,22,26,95,47,17,8,26,43,150,0.369,0.305,0.773,9.6,2.8,1.8,0.9
13,Marquese Chriss\chrisma01,19,1,82,1743,284,632,72,224,113,181,96,348,60,67,70,108,263,753,0.449,0.321,0.624,21.3,9.2,4.2,0.7
14,Semaj Christon\chrisse01,24,1,64,973,77,223,12,63,17,31,19,87,130,28,7,43,79,183,0.345,0.19,0.548,15.2,2.9,1.4,2
